author,title,abstract
Bereczki Arnold,"AUTOMATIC SEGMENTATION OF BRAIN TESTS FROM
MULTISPECTRAL RMN VOLUMETRIC DATA","Nowadays medical image processing is a dynamically evolving science and industry. The
rapid development of computers makes it possible to implement increasingly complex
procedures. However, it is also possible for the computer to trigger the more tedious part of a
human expert’s work and enable the doctor to focus only on cases where the computer has
found something abnormal or suspicious. With this thesis, I also want to follow this trend. I
propose to implement a machine learning procedure that can efficiently and accurately
segment brain tissues based on MRI scans of six-month-old infants.
During the implementation, I worked with the data published at the iSeg-2017 competition.
From the OpenCV machine learning library, I found the discrete AdaBoost classifier to be the
most suitable for segmentation, and I added a post-processing to improve the results of the
classifier. In addition, I implemented software with a graphical user interface that can be used
to launch segmentation tasks, visualize the results, and manage the inventory of performed
operations. The average accuracy of the implemented segmentation procedure was slightly
above 85%."
Csorvasi Endre,Inventory application,"The paper is about a web application that provides a solution for companies in the
complex task of inventory management.
Nowadays, for every kind of task, there is an object or tool that helps to perform this
task, thus simplifying people's lives. The use of objects, tools has also become common
within companies, as it has allowed them to increase productivity. Because of the many
objects used, keeping track of them has become an increasing challenge for companies.
Due to the virus situation, a large number of companies have given employees the
opportunity to work remotely .
To address these problems, I have created a web application that allows companies to
easily keep track of which objects are in the possession of an employee. The application
should be available to users in multiple roles. The administrator, who is responsible for the
application, whose job is to manage objects, users and user requests. Users are the employees
who can view the objects and request the tools they need. These requests can be accepted or
rejected by the administrators.
Thanks to the web application , it is easy to access and does not need to be configured
for each employee. All you need to access it is the Internet and a web browser."
Deak Adrienn,Remote control of industrial robots with Android app,"Nowadays, IoT (Internet Of Things) technology-based systems are gaining more ground,
enabling the efficient remote control, monitoring, and management of industrial processes
with smart device applications. In the case of industrial software running on smart
devices, reliable monitoring, rapid intervention, and proper management of the access
control are critical. Hence, this kind of application development is a complex process.
Industrial robots have their own control devices to program and monitor, but these tools
are usually immovable. Therefore, in addition to these devices, mobile phone applications
can effectively serve as an extension.
This work aims to develop an open-source Android application that can be used to
remotely control robots used in the industry. The developed application can monitor
the motion of the robot based on video and sensor informations, it can send commands
and control scripts to the robot, and it ensures the manual control of the robot based on
video information. In addition to the aforementioned functionalities, the application can
analyze the remote control technique of the users. This module can help to evaluate and
educate manual robot control techniques."
Demeny Szekely Adorjan,AUTOMATIC TESTING AND UPDATING OF THE NOMINATIM SERVER,"Nowadays, geopositioning can be done on even the smallest devices, such as a smart
watch or a smart phone. Each of the GPS applications uses the reverse geocoding feature of the
map application to give the user accurate information about their location. To be able to do this,
the map application must be backed by a serious database that stores geographic data for millions
of points around the world.
There are many applications that can provide very accurate map data to users. The most known
applications are Google Maps, Bing Maps, Apple Maps, and the open source OpenStreetMap.
One of the great advantages of OpenStreetMap is that it is open source, but it is also one of it’s
weaknesses, because being open source, anyone can update the data in its database.
OpenStreetMap allows for local installation through software called Nominatim, this means that
companies can become independent from big companies who provide Map APIs for huge
amount of money. Installing such a server requires a huge amount of disk space, and the amount
of data continues to grow after installation due to updates.
The aim of this dissertation is to develop a software system that allows the Nominatim
web server data to be updated automatically, but also allows the user to manage the update
process. The software system consists of two main components, a web application that tests the
data. A server collection that allows you to update the data in the database. The web application
is an ASP.NET Core application implemented with an MVC architectural pattern. This testing
application allows the user to test the differences between two Nominatim servers. The server
collection consists of three ubuntu servers with Nominatim software installed. Their job is to
update the data in the database."
Erdos Jozsef,RESTAURANT FOOD ORDERING MOBILE APP,"The new innovations of the 21st century are making our daily lives easier, one of them
being food ordering apps, which were mainly used during the quarantine period in our region.
In my thesis, I will compare several food ordering apps, their usage, and I will also present an
application developed by me, that has been in real use for more than three months in the
villages near Odorheiu Secuiesc, Cristuru Secuiesc and Gheorgheni.
I used several technologies to create the application. The restaurant's internal system
was written in Node.js/Express.js. The API that serves the mobile app was written in Node.js
and finally for the mobile application I used React Native.
In my thesis I will present in detail how the application works and how to use it. It is
important to mention that I wanted to create a user interface by using the knowledge I gained
at the university, which provides a ready-to-use system for the users, that is rather simple and
easy to use. Another interesting aspect is that I made the application available in small
villages where online food ordering was not yet available."
Gyorfi Endre,APIAapp - Mobile application to manage farmers' subsidies,"Romania receives a large amount of money from the European Union to support farmers involved
in agri-environmental and agricultural production. The brainchild of the project is the Milvus associa-
tion, which is involved in nature conservation research. They have observed that farmers have a big
problem in obtaining information on subsidies, as there is currently no single website or application in
Romania that collects subsidies and related information. To solve this problem, the APIA APP project
was created, which consists of an Android application and a content management system.
The aim of the application is to help local farmers to browse the subsidies available in Romania
and to comply with the conditions attached to the subsidies. It also helps to follow the conditions of
the subsidies already won. It helps farmers to win a grant by collecting the documents needed to win
each grant. The development was done in Kotlin Multiplatform Mobile, which supports multiplatform
application development, the Android part was written in Kotlin.
The thesis describes the client and server application, the technologies used for its implementation,
covering the architecture and the functionalities. Two persons participated in the development of the application, namely Endre Györfi and István-
Lehel Balázs. The development has been divided according to functionalities, which can be followed in detail in the use-case diagram presented in the thesis."
Kencse Szabolcs,uSochool – The digital catalogue,"The world is moving fast towards digitalization by taking huge steps in all areas of life and thus
almost every person has now a smartphone. Nowadays, there are plenty of applications to facilitate
our everyday tasks, however, in one of the most important areas, education, we still do not take
advantage of the opportunities offered by these tools.
The goal of my dissertation is to provide an alternative to the handwritten catalogue used in public
education that makes it easy for all teachers, students, and parents to track student marks and
absences and helps optimizing administration processes. A teacher can hold the catalogue of all
the classes he teaches in his hand at the same time and note their grades at any time, as the physical
limit, given by the fact that there is only one unique piece for each class, is eliminated. The students
will also have the opportunity to view their marks and absences at any time without interrupting
the classes and parents will be able to keep track of real data through their kid’s user as well.
To implement this solution, I created a multiplatform application that is compatible with
smartphones running iOS and Android, but also any device that has a web browser."
Kis Gerlinda Boglarka,Graphical simulation of thermal models of buildings,"In today's digital world, modern remote controlled devices have also appeared in our homes.
These devices ensure the safety of our homes, we can monitor various household appliances
remotely and parameterize the comfort functions of our home.
The aim of this thesis is to design a universal graphical interface which can visualize the thermal
parameters of a given building, the control of the of the buildings furnace is parameterizable and
real-time feedback off the processes can be read from the interface.
The tunable parameters necessary for the mathematical model of the control algorithm can be
entered by the user through a proprietary user interface, where the user can choose the type of wall
material, and also specify other parameters (windows, doors, number of heaters) that are stored in
a database running on an external server. The user interface uses the TCP network communication
protocol to communicate with the control system. The calculated control signals can be displayed
in the user interface, and at the same time the thermal heat map of the building is also displayed.
Within the framework of the thesis, the user interface was implemented, which is able to establish
communication with a working temperature control system, the interface provides the possibility
for parameterization of the specified building, and to simultaneously assign changing heat map
and control options to the given building.
With the help of the user interface, the user can display and parameterize various control
algorithms and choose the most optimal one, thereby saving energy."
Kollo Zsolt,Timekeeping software system based on microservices,"Nowadays, cloud services are one of the most common IT services. It can be observed
that various international IT companies strive to release their own cloud services, be it
a hosting service, a database service or even a virtual server. The great advantage of
these services is that the cloud hides from developers the infrastructure necessary for the
operation of a particular system, thereby taking over responsibility from the developers.
However, its advantages also include the fact that the user can keep their data safe and
can access it from anywhere.
The AZORA system, presented in this work, is an application that allows employees of
a particular company to record the time spent on each project and task and to provide
administrative staff with a complete and comprehensive picture of the activity within
that organization. The system is based on a microservice architecture, from which the
present work focuses on the implementation of the service responsible for the registration
of hours.
The app is fully powered by Microsoft Azure cloud services. This assumes that the
application is serverless by which the cloud provider automatically deploys, scales, and
manages the infrastructure required to run the code."
Lukacs Botond,TESTER DE COMPONENTE ELECTRONICE,"In today’s world microcontroller system can be found in a lot of things and they have a big processing
capacity and can be used generally in a lot of different applications. They have a lot of functions, from
making a LED blink to automating complex systems. They also can be easily connected to external
components so this way they can be used in more ways.
For this cause this dissertation main goal it making a system which will be able to identify simple
electoronic components whith their aproximative values and their pinouts. In electoronics there are
a lot of electronic components, like resistors, capacitors, diodes and transistors. But when building
a circuit it is good to know what is the component and their pinout, which is more important on
semiconductors. In a lot of times the identifier values are unreadable or there is no datasheet avabile
so it is hard to idnetify the component. For this purpose the ""electronic component teszter"" was made
which automaticall identif and outputs the component values or outputs if if failed to identify the
component. The process if fully automatic, only the component need to be connected to the tester
socket and togle switch or it automatically starts when it is connected to power.

The dissertation will cover microcontroller applications and their design for component recogniti-
on and measurement."
